building_id,building_name,building_created_date,last_modified_date
1_Gargi,Gargi,01-02-2023,01-02-2023 00:00
2_Sarswati,Sarswati,01-03-2023,01-03-2023 00:00
3_Ganga,Ganga,01-04-2023,01-04-2023 00:00
4_Abraham,Abraham,01-05-2023,01-05-2023 00:00
5_Agatsya,Agatsya,01-06-2023,01-06-2023 00:00
6_Avanti,Avanti,01-07-2023,01-07-2023 00:00
7_Atri,Atri,01-08-2023,01-08-2023 00:00
8_Jamdagni,Jamdagni,01-09-2023,01-09-2023 00:00
9_Vivekanand,Vivekanand,01-10-2023,01-10-2023 00:00
10_Dnyaneshwar,Dnyaneshwar,01-11-2023,01-11-2023 00:00
11_Dhruv,Dhruv,01-12-2023,01-12-2023 00:00
12_Aryabhat,Aryabhat,1/13/2023,1/13/2023 0:00
13_Kashyap,Kashyap,1/14/2023,1/14/2023 0:00
14_Prayag,Prayag,1/15/2023,1/15/2023 0:00
15_Chanakya,Chanakya,1/16/2023,1/16/2023 0:00
16_Vishwakarma,Vishwakarma,1/17/2023,1/17/2023 0:00
17_Vivekanad,Vivekanad,1/18/2023,1/18/2023 0:00
18_Draneshwar,Draneshwar,1/19/2023,1/19/2023 0:00
19_Vyas,Vyas,1/20/2023,1/20/2023 0:00
20_Maitri,Maitri,1/21/2023,1/21/2023 0:00
