sensor_id,reading_id,reading,sensor_reading_last_modified_date
S_Gargi_1,S_Gargi_1_20250301204948,1886.14,03-01-2025 20:49
S_Gargi_1,S_Gargi_1_20250301081225,6265.29,03-01-2025 08:12
S_Gargi_1,S_Gargi_1_20250301204136,4247.89,03-01-2025 20:41
S_Gargi_1,S_Gargi_1_20250301182728,4845.55,03-01-2025 18:27
S_Gargi_1,S_Gargi_1_20250301104550,2811.74,03-01-2025 10:45
S_Gargi_1,S_Gargi_1_20250301140623,7793.56,03-01-2025 14:06
S_Gargi_1,S_Gargi_1_20250301010327,2584.15,03-01-2025 01:03
S_Gargi_1,S_Gargi_1_20250301074333,3423.85,03-01-2025 07:43
S_Gargi_1,S_Gargi_1_20250301121855,9773.94,03-01-2025 12:18
S_Gargi_1,S_Gargi_1_20250301030726,2088.18,03-01-2025 03:07
S_Gargi_1,S_Gargi_1_20250301071751,5085.96,03-01-2025 07:17
S_Gargi_1,S_Gargi_1_20250301210848,8386.49,03-01-2025 21:08
S_Gargi_1,S_Gargi_1_20250301040140,6154.29,03-01-2025 04:01
S_Gargi_1,S_Gargi_1_20250301165036,6253.38,03-01-2025 16:50
S_Gargi_1,S_Gargi_1_20250301054017,1681.33,03-01-2025 05:40
S_Gargi_1,S_Gargi_1_20250301114814,6880.37,03-01-2025 11:48
S_Gargi_1,S_Gargi_1_20250301064340,1125.15,03-01-2025 06:43
S_Gargi_1,S_Gargi_1_20250301095134,1476.17,03-01-2025 09:51
S_Gargi_1,S_Gargi_1_20250301032158,9599.69,03-01-2025 03:21
S_Gargi_1,S_Gargi_1_20250301120106,6388.13,03-01-2025 12:01
S_Gargi_1,S_Gargi_1_20250301074039,2642.73,03-01-2025 07:40
S_Gargi_1,S_Gargi_1_20250301212317,2670.48,03-01-2025 21:23
S_Gargi_1,S_Gargi_1_20250301120802,7460.93,03-01-2025 12:08
S_Gargi_1,S_Gargi_1_20250301072350,6684.3,03-01-2025 07:23
S_Gargi_1,S_Gargi_1_20250301103844,8354.3,03-01-2025 10:38
S_Gargi_1,S_Gargi_1_20250301012422,8372.74,03-01-2025 01:24
S_Gargi_1,S_Gargi_1_20250301235750,7089,03-01-2025 23:57
S_Gargi_1,S_Gargi_1_20250301162006,1645.7,03-01-2025 16:20
S_Gargi_1,S_Gargi_1_20250301222933,2511.37,03-01-2025 22:29
S_Gargi_1,S_Gargi_1_20250302105215,1978.55,03-02-2025 10:52
S_Gargi_1,S_Gargi_1_20250302225940,5108.52,03-02-2025 22:59
S_Gargi_1,S_Gargi_1_20250302203816,7727.22,03-02-2025 20:38
S_Gargi_1,S_Gargi_1_20250302184119,5209.34,03-02-2025 18:41
S_Gargi_1,S_Gargi_1_20250302211958,6082.4,03-02-2025 21:19
S_Gargi_1,S_Gargi_1_20250302032028,8397.36,03-02-2025 03:20
S_Gargi_1,S_Gargi_1_20250302041722,2689.9,03-02-2025 04:17
S_Gargi_1,S_Gargi_1_20250302182541,7340.01,03-02-2025 18:25
S_Gargi_1,S_Gargi_1_20250302045155,1583.66,03-02-2025 04:51
S_Gargi_1,S_Gargi_1_20250302004610,8095.41,03-02-2025 00:46
S_Gargi_1,S_Gargi_1_20250302174437,6589.51,03-02-2025 17:44
S_Gargi_1,S_Gargi_1_20250302190204,3684.25,03-02-2025 19:02
S_Gargi_1,S_Gargi_1_20250302211552,9854.18,03-02-2025 21:15
S_Gargi_1,S_Gargi_1_20250302015126,6545.26,03-02-2025 01:51
S_Gargi_1,S_Gargi_1_20250302124816,3548.2,03-02-2025 12:48
S_Gargi_1,S_Gargi_1_20250302111534,1257.13,03-02-2025 11:15
S_Gargi_1,S_Gargi_1_20250302135532,5631.74,03-02-2025 13:55
S_Gargi_1,S_Gargi_1_20250302075624,2388.2,03-02-2025 07:56
S_Gargi_1,S_Gargi_1_20250302071350,7301.9,03-02-2025 07:13
S_Gargi_1,S_Gargi_1_20250302132627,9368.43,03-02-2025 13:26
S_Gargi_1,S_Gargi_1_20250302223450,5889.95,03-02-2025 22:34
S_Gargi_1,S_Gargi_1_20250303200601,9050.28,03-03-2025 20:06
S_Gargi_1,S_Gargi_1_20250303022205,4543.6,03-03-2025 02:22
S_Gargi_1,S_Gargi_1_20250303164757,1415.58,03-03-2025 16:47
S_Gargi_1,S_Gargi_1_20250303155045,5595.19,03-03-2025 15:50
S_Gargi_1,S_Gargi_1_20250303233500,5866.15,03-03-2025 23:35
S_Gargi_1,S_Gargi_1_20250303182228,5435.16,03-03-2025 18:22
S_Gargi_1,S_Gargi_1_20250303091221,2794.58,03-03-2025 09:12
S_Gargi_1,S_Gargi_1_20250303172006,8831.69,03-03-2025 17:20
S_Gargi_1,S_Gargi_1_20250303221400,2640.61,03-03-2025 22:14
S_Gargi_1,S_Gargi_1_20250303170900,1700.52,03-03-2025 17:09
S_Gargi_1,S_Gargi_1_20250303181545,4713.39,03-03-2025 18:15
S_Gargi_1,S_Gargi_1_20250303002512,5675.39,03-03-2025 00:25
S_Gargi_1,S_Gargi_1_20250303045757,8191.02,03-03-2025 04:57
S_Gargi_1,S_Gargi_1_20250303060716,7019.16,03-03-2025 06:07
S_Gargi_1,S_Gargi_1_20250303063402,8221.99,03-03-2025 06:34
S_Gargi_1,S_Gargi_1_20250303104024,6573.97,03-03-2025 10:40
S_Gargi_1,S_Gargi_1_20250303022515,9693.62,03-03-2025 02:25
S_Gargi_1,S_Gargi_1_20250303121047,7788.14,03-03-2025 12:10
S_Gargi_1,S_Gargi_1_20250303233154,8356.18,03-03-2025 23:31
S_Gargi_1,S_Gargi_1_20250303051058,6203.63,03-03-2025 05:10
S_Gargi_1,S_Gargi_1_20250304190520,1711.15,03-04-2025 19:05
S_Gargi_1,S_Gargi_1_20250304102030,4650.35,03-04-2025 10:20
S_Gargi_1,S_Gargi_1_20250304003604,5626.38,03-04-2025 00:36
S_Gargi_1,S_Gargi_1_20250304011223,5284.35,03-04-2025 01:12
S_Gargi_1,S_Gargi_1_20250304172815,9726.39,03-04-2025 17:28
S_Gargi_1,S_Gargi_1_20250304225439,7149.59,03-04-2025 22:54
S_Gargi_1,S_Gargi_1_20250304164600,2251.04,03-04-2025 16:46
S_Gargi_1,S_Gargi_1_20250304051032,2556.37,03-04-2025 05:10
S_Gargi_1,S_Gargi_1_20250304200142,3842.71,03-04-2025 20:01
S_Gargi_1,S_Gargi_1_20250304074920,5692.54,03-04-2025 07:49
S_Gargi_1,S_Gargi_1_20250304120631,2473.66,03-04-2025 12:06
S_Gargi_1,S_Gargi_1_20250304034317,4026.28,03-04-2025 03:43
S_Gargi_1,S_Gargi_1_20250304135037,4598.08,03-04-2025 13:50
S_Gargi_1,S_Gargi_1_20250304030656,1908.4,03-04-2025 03:06
S_Gargi_1,S_Gargi_1_20250304182055,6544.33,03-04-2025 18:20
S_Gargi_1,S_Gargi_1_20250304031416,6468.59,03-04-2025 03:14
S_Gargi_1,S_Gargi_1_20250304010316,5251.59,03-04-2025 01:03
S_Gargi_1,S_Gargi_1_20250304042758,9434.22,03-04-2025 04:27
S_Gargi_1,S_Gargi_1_20250304005515,5804.4,03-04-2025 00:55
S_Gargi_1,S_Gargi_1_20250304202238,1230.09,03-04-2025 20:22
S_Gargi_1,S_Gargi_1_20250304093156,7946.04,03-04-2025 09:31
S_Gargi_1,S_Gargi_1_20250305111033,2734.1,03-05-2025 11:10
S_Gargi_1,S_Gargi_1_20250305173645,1802.44,03-05-2025 17:36
S_Gargi_1,S_Gargi_1_20250305011823,2031.91,03-05-2025 01:18
S_Gargi_1,S_Gargi_1_20250305102932,9041.4,03-05-2025 10:29
S_Gargi_1,S_Gargi_1_20250305055845,9340.75,03-05-2025 05:58
S_Gargi_1,S_Gargi_1_20250305021637,5856.03,03-05-2025 02:16
S_Gargi_1,S_Gargi_1_20250305143343,4255.48,03-05-2025 14:33
S_Gargi_1,S_Gargi_1_20250305194604,5958.36,03-05-2025 19:46
S_Gargi_1,S_Gargi_1_20250305080637,1961.5,03-05-2025 08:06
S_Gargi_1,S_Gargi_1_20250305100832,3651.53,03-05-2025 10:08
S_Gargi_1,S_Gargi_1_20250305212612,9188.61,03-05-2025 21:26
S_Gargi_1,S_Gargi_1_20250305153111,5257.01,03-05-2025 15:31
S_Gargi_1,S_Gargi_1_20250305105749,7993.98,03-05-2025 10:57
S_Gargi_1,S_Gargi_1_20250305201113,8444.86,03-05-2025 20:11
S_Gargi_1,S_Gargi_1_20250305080103,1786.79,03-05-2025 08:01
S_Gargi_1,S_Gargi_1_20250305055433,5956.5,03-05-2025 05:54
S_Gargi_1,S_Gargi_1_20250305211039,4458.93,03-05-2025 21:10
S_Gargi_1,S_Gargi_1_20250305014438,7636.99,03-05-2025 01:44
S_Gargi_1,S_Gargi_1_20250305083248,8858.78,03-05-2025 08:32
S_Gargi_1,S_Gargi_1_20250305213803,5960.75,03-05-2025 21:38
S_Gargi_1,S_Gargi_1_20250305032922,7379.94,03-05-2025 03:29
S_Gargi_1,S_Gargi_1_20250305000545,7887.81,03-05-2025 00:05
S_Gargi_1,S_Gargi_1_20250305141726,8725.82,03-05-2025 14:17
S_Gargi_1,S_Gargi_1_20250305133257,4394.41,03-05-2025 13:32
S_Gargi_1,S_Gargi_1_20250305192438,5814.37,03-05-2025 19:24
S_Gargi_1,S_Gargi_1_20250306230107,9190.57,03-06-2025 23:01
S_Gargi_1,S_Gargi_1_20250306214253,7708.43,03-06-2025 21:42
S_Gargi_1,S_Gargi_1_20250306061841,8044.23,03-06-2025 06:18
S_Gargi_1,S_Gargi_1_20250306084809,9959.02,03-06-2025 08:48
S_Gargi_1,S_Gargi_1_20250306020455,1527.03,03-06-2025 02:04
S_Gargi_1,S_Gargi_1_20250306134239,2763.9,03-06-2025 13:42
S_Gargi_1,S_Gargi_1_20250306205651,1866.78,03-06-2025 20:56
S_Gargi_1,S_Gargi_1_20250306175955,8229.7,03-06-2025 17:59
S_Gargi_1,S_Gargi_1_20250306122153,5727.02,03-06-2025 12:21
S_Gargi_1,S_Gargi_1_20250306212031,6580.91,03-06-2025 21:20
S_Gargi_1,S_Gargi_1_20250306020527,6225.43,03-06-2025 02:05
S_Gargi_1,S_Gargi_1_20250306011717,1169.96,03-06-2025 01:17
S_Gargi_1,S_Gargi_1_20250306210945,6603.05,03-06-2025 21:09
S_Gargi_1,S_Gargi_1_20250306073124,8730.41,03-06-2025 07:31
S_Gargi_1,S_Gargi_1_20250306122301,3291.19,03-06-2025 12:23
S_Gargi_1,S_Gargi_1_20250306123739,9531.77,03-06-2025 12:37
S_Gargi_1,S_Gargi_1_20250306171334,4258.93,03-06-2025 17:13
S_Gargi_1,S_Gargi_1_20250306052104,4023.65,03-06-2025 05:21
S_Gargi_1,S_Gargi_1_20250306123842,5648.33,03-06-2025 12:38
S_Gargi_1,S_Gargi_1_20250306165949,1444.49,03-06-2025 16:59
S_Gargi_1,S_Gargi_1_20250306180419,7262.28,03-06-2025 18:04
S_Gargi_1,S_Gargi_1_20250307034201,4836.35,03-07-2025 03:42
S_Gargi_1,S_Gargi_1_20250307085958,2457.25,03-07-2025 08:59
S_Gargi_1,S_Gargi_1_20250307103844,6886.49,03-07-2025 10:38
S_Gargi_1,S_Gargi_1_20250307134458,7476.74,03-07-2025 13:44
S_Gargi_1,S_Gargi_1_20250307180535,5157.21,03-07-2025 18:05
S_Gargi_1,S_Gargi_1_20250307155335,9345.9,03-07-2025 15:53
S_Gargi_1,S_Gargi_1_20250307142029,3269.94,03-07-2025 14:20
S_Gargi_1,S_Gargi_1_20250307132139,4788.62,03-07-2025 13:21
S_Gargi_1,S_Gargi_1_20250307100735,4324.92,03-07-2025 10:07
S_Gargi_1,S_Gargi_1_20250307071759,8125.99,03-07-2025 07:17
S_Gargi_1,S_Gargi_1_20250307040253,1739.61,03-07-2025 04:02
S_Gargi_1,S_Gargi_1_20250307093747,5054.8,03-07-2025 09:37
S_Gargi_1,S_Gargi_1_20250307114713,1082.19,03-07-2025 11:47
S_Gargi_1,S_Gargi_1_20250307212204,2793.85,03-07-2025 21:22
S_Gargi_1,S_Gargi_1_20250307065726,1663.4,03-07-2025 06:57
S_Gargi_1,S_Gargi_1_20250307013833,7100.45,03-07-2025 01:38
S_Gargi_1,S_Gargi_1_20250307034806,1709.18,03-07-2025 03:48
S_Gargi_1,S_Gargi_1_20250307044240,9045.77,03-07-2025 04:42
S_Gargi_1,S_Gargi_1_20250307120416,6621.96,03-07-2025 12:04
S_Gargi_1,S_Gargi_1_20250307004434,2079.1,03-07-2025 00:44
S_Gargi_1,S_Gargi_1_20250307223416,1547.97,03-07-2025 22:34
S_Gargi_1,S_Gargi_1_20250308001540,3523.69,03-08-2025 00:15
S_Gargi_1,S_Gargi_1_20250308221500,2977.28,03-08-2025 22:15
S_Gargi_1,S_Gargi_1_20250308154606,4660.55,03-08-2025 15:46
S_Gargi_1,S_Gargi_1_20250308184558,1700.93,03-08-2025 18:45
S_Gargi_1,S_Gargi_1_20250308101649,8382.14,03-08-2025 10:16
S_Gargi_1,S_Gargi_1_20250308061453,1900.09,03-08-2025 06:14
S_Gargi_1,S_Gargi_1_20250308142503,7032.87,03-08-2025 14:25
S_Gargi_1,S_Gargi_1_20250308020134,9462.01,03-08-2025 02:01
S_Gargi_1,S_Gargi_1_20250308124726,2762.73,03-08-2025 12:47
S_Gargi_1,S_Gargi_1_20250308181030,3157.03,03-08-2025 18:10
S_Gargi_1,S_Gargi_1_20250308193901,2579.45,03-08-2025 19:39
S_Gargi_1,S_Gargi_1_20250308092418,3915.28,03-08-2025 09:24
S_Gargi_1,S_Gargi_1_20250308232353,3108.89,03-08-2025 23:23
S_Gargi_1,S_Gargi_1_20250308214110,9584.93,03-08-2025 21:41
S_Gargi_1,S_Gargi_1_20250308112704,3243.93,03-08-2025 11:27
S_Gargi_1,S_Gargi_1_20250308070009,7846.61,03-08-2025 07:00
S_Gargi_1,S_Gargi_1_20250308111032,7290.56,03-08-2025 11:10
S_Gargi_1,S_Gargi_1_20250308011836,5318.6,03-08-2025 01:18
S_Gargi_1,S_Gargi_1_20250308035921,9441.21,03-08-2025 03:59
S_Gargi_1,S_Gargi_1_20250308072527,8715.09,03-08-2025 07:25
S_Gargi_1,S_Gargi_1_20250308045202,7104.09,03-08-2025 04:52
S_Gargi_1,S_Gargi_1_20250308115848,3068.53,03-08-2025 11:58
S_Gargi_1,S_Gargi_1_20250308202311,3376.39,03-08-2025 20:23
S_Gargi_1,S_Gargi_1_20250308123041,3502.05,03-08-2025 12:30
S_Gargi_1,S_Gargi_1_20250309002907,5331.51,03-09-2025 00:29
S_Gargi_1,S_Gargi_1_20250309140109,9081.57,03-09-2025 14:01
