sensor_id,tank_id,date_time,sensor_last_modified_date
S_Gargi_1,T_Gargi_1,1/10/2025 0:01,1/12/2025 5:18
S_Gargi_2,T_Gargi_2,1/6/2025 11:13,2/5/2025 14:57
S_Sarswati_1,T_Sarswati_1,1/1/2025 6:44,2/12/2025 19:03
S_Sarswati_2,T_Sarswati_2,2/13/2025 1:57,1/28/2025 7:02
S_Ganga_1,T_Ganga_1,1/23/2025 1:53,2/6/2025 10:32
S_Ganga_2,T_Ganga_2,1/2/2025 22:46,1/4/2025 13:16
S_Abraham_1,T_Abraham_1,2/12/2025 10:48,1/29/2025 12:57
S_Abraham_2,T_Abraham_2,1/16/2025 10:15,1/24/2025 19:55
S_Agatsya_1,T_Agatsya_1,2/19/2025 0:15,2/15/2025 13:30
S_Agatsya_2,T_Agatsya_2,2/21/2025 13:30,2/26/2025 4:51
S_Avanti_1,T_Avanti_1,2/2/2025 13:44,1/22/2025 2:29
S_Avanti,T_Avanti,1/9/2025 16:04,1/25/2025 1:43
S_Atri_1,T_Atri_1,1/13/2025 7:23,2/25/2025 20:12
S_Atri_2,T_Atri_2,2/16/2025 4:54,2/8/2025 9:31
S_Jamdagni_1,T_Jamdagni_1,2/11/2025 21:28,2/18/2025 0:26
S_Jamdagni_2,T_Jamdagni_2,1/16/2025 7:38,2/2/2025 19:36
S_Vivekanand_1,T_Vivekanand_1,1/16/2025 0:17,1/30/2025 8:17
S_Vivekanand_2,T_Vivekanand_2,2/7/2025 10:00,2/26/2025 23:04
S_Dnyaneshwar_1,T_Dnyaneshwar_1,1/31/2025 22:45,2/7/2025 8:52
S_Dnyaneshwar_2,T_Dnyaneshwar_2,2/8/2025 14:13,2/20/2025 1:40
S_Dhruv_1,T_Dhruv_1,2/20/2025 11:11,1/1/2025 7:31
S_Dhruv_2,T_Dhruv_2,2/12/2025 22:41,1/23/2025 16:46
S_Aryabhat_1,T_Aryabhat_1,1/17/2025 10:58,2/5/2025 21:56
S_Aryabhat_2,T_Aryabhat_2,1/25/2025 23:15,1/8/2025 11:49
S_Kashyap_1,T_Kashyap_1,2/15/2025 15:57,1/11/2025 23:13
S_Kashyap_2,T_Kashyap_2,2/18/2025 12:33,2/25/2025 3:05
S_Prayag_1,T_Prayag_1,2/20/2025 21:02,2/11/2025 1:30
S_Prayag_2,T_Prayag_2,1/2/2025 23:18,2/13/2025 20:44
S_Chanakya_1,T_Chanakya_1,1/12/2025 3:48,2/20/2025 7:56
S_Chanakya_2,T_Chanakya_2,2/13/2025 14:52,2/28/2025 6:13
S_Vishwakarma_1,T_Vishwakarma_1,1/28/2025 23:19,2/24/2025 2:46
S_Vishwakarma_2,T_Vishwakarma_2,1/25/2025 21:05,2/15/2025 15:59
S_Vivekanad_1,T_Vivekanad_1,1/25/2025 21:27,2/14/2025 3:01
S_Vivekanad_2,T_Vivekanad_2,1/1/2025 8:59,1/15/2025 3:49
S_Draneshwar_1,T_Draneshwar_1,1/29/2025 13:14,2/25/2025 5:19
S_Draneshwar_2,T_Draneshwar_2,2/28/2025 13:52,2/7/2025 17:27
S_Vyas_1,T_Vyas_1,2/15/2025 7:15,2/21/2025 20:30
S_Vyas_2,T_Vyas_2,2/25/2025 4:31,1/8/2025 20:01
S_Maitri_1,T_Maitri_1,1/9/2025 5:57,2/13/2025 19:38
S_Maitri_2,T_Maitri_2,2/9/2025 13:57,2/6/2025 7:58
