tank_id,user_id,building_id,capacity,tank_created_date,tank_last_modified_date
T_Gargi_1,1,1_Gargi,10000,8/4/2024 5:29,1/4/2024 5:29
T_Gargi_2,1,2_Sarswati,7500,1/3/2024 5:29,3/17/2024 5:29
T_Sarswati_1,2,3_Ganga,10000,1/1/2024 5:04,1/1/2024 5:04
T_Sarswati_2,2,4_Abraham,7500,1/1/2024 5:04,1/1/2024 5:04
T_Ganga_1,3,5_Agatsya,10000,1/1/2024 5:04,1/1/2024 5:04
T_Ganga_2,3,6_Avanti,7500,1/1/2024 5:04,1/1/2024 5:04
T_Abraham_1,4,7_Atri,10000,1/1/2024 5:04,1/1/2024 5:04
T_Abraham_2,4,8_Jamdagni,7500,1/1/2024 5:04,1/1/2024 5:04
T_Agatsya_1,5,9_Vivekanand,10000,1/1/2024 5:04,1/1/2024 5:04
T_Agatsya_2,5,10_Dnyaneshwar,7500,1/1/2024 5:04,1/1/2024 5:04
T_Avanti_1,1,11_Dhruv,10000,1/1/2024 5:04,1/1/2024 5:04
T_Avanti,1,12_Aryabhat,7500,1/1/2024 5:04,1/1/2024 5:04
T_Atri_1,2,13_Kashyap,10000,1/1/2024 5:04,1/1/2024 5:04
T_Atri_2,2,14_Prayag,7500,1/1/2024 5:04,1/1/2024 5:04
T_Jamdagni_1,3,15_Chanakya,10000,1/1/2024 5:04,1/1/2024 5:04
T_Jamdagni_2,3,16_Vishwakarma,7500,1/1/2024 5:04,1/1/2024 5:04
T_Vivekanand_1,4,17_Vivekanad,10000,1/1/2024 5:04,1/1/2024 5:04
T_Vivekanand_2,4,18_Draneshwar,7500,1/1/2024 5:04,1/1/2024 5:04
T_Dnyaneshwar_1,5,19_Vyas,10000,1/1/2024 5:04,1/1/2024 5:04
T_Dnyaneshwar_2,5,20_Maitri,7500,1/1/2024 5:04,1/1/2024 5:04
T_Dhruv_1,1,1_Gargi,10000,1/1/2024 5:04,1/1/2024 5:04
T_Dhruv_2,1,2_Sarswati,7500,1/1/2024 5:04,1/1/2024 5:04
T_Aryabhat_1,2,3_Ganga,10000,1/1/2024 5:04,1/1/2024 5:04
T_Aryabhat_2,2,4_Abraham,7500,1/1/2024 5:04,1/1/2024 5:04
T_Kashyap_1,3,5_Agatsya,10000,1/1/2024 5:04,1/1/2024 5:04
T_Kashyap_2,3,6_Avanti,7500,1/1/2024 5:04,1/1/2024 5:04
T_Prayag_1,4,7_Atri,10000,1/1/2024 5:04,1/1/2024 5:04
T_Prayag_2,4,8_Jamdagni,7500,1/1/2024 5:04,1/1/2024 5:04
T_Chanakya_1,5,9_Vivekanand,10000,1/1/2024 5:04,1/1/2024 5:04
T_Chanakya_2,5,10_Dnyaneshwar,7500,1/1/2024 5:04,1/1/2024 5:04
T_Vishwakarma_1,1,11_Dhruv,10000,1/1/2024 5:04,1/1/2024 5:04
T_Vishwakarma_2,1,12_Aryabhat,7500,1/1/2024 5:04,1/1/2024 5:04
T_Vivekanad_1,2,13_Kashyap,10000,1/1/2024 5:04,1/1/2024 5:04
T_Vivekanad_2,2,14_Prayag,7500,1/1/2024 5:04,1/1/2024 5:04
T_Draneshwar_1,3,15_Chanakya,10000,1/1/2024 5:04,1/1/2024 5:04
T_Draneshwar_2,3,16_Vishwakarma,7500,1/1/2024 5:04,1/1/2024 5:04
T_Vyas_1,4,17_Vivekanad,10000,1/1/2024 5:04,1/1/2024 5:04
T_Vyas_2,4,18_Draneshwar,7500,1/1/2024 5:04,1/1/2024 5:04
T_Maitri_1,5,19_Vyas,10000,1/1/2024 5:04,1/1/2024 5:04
T_Maitri_2,5,20_Maitri,7500,1/1/2024 5:04,1/1/2024 5:04
